id,user_id,name,phone_number,homeclub,timezone_homeclub,membership_expired_date,is_deleted
1,d0a0d9ca8dc4f47226a8afd32ee2a848,49452c26f7b12cd571bd598a0128819e,f495c5b0268d9896b8478ab32bfa02eb,BENHIL,Asia/Jakarta,9/2/2024,TRUE
2,cadba628952bde1670ac4c0792afc28a,2eb4b6e1ee9574c9e4a5f7e7e9b09280,6f1afb7c23074684ea05ffe9e63bb57a,PLUIT,Asia/Jakarta,8/20/2025,FALSE
3,cadba628952bde1670ac4c0792afc28a,2eb4b6e1ee9574c9e4a5f7e7e9b09280,6f1afb7c23074684ea05ffe9e63bb57a,PLUIT,Asia/Jakarta,8/20/2025,FALSE
4,8575e4f470c06e133f95c4be9aa13934,003609f9b658dc89cd16d904783834d4,be0692cdaa467a4d9352dfe3da3d263f,ARTERI PONDOK INDAH,Asia/Jakarta,8/24/2024,FALSE
5,f2de40c8394f4ea9a6aa49965380dd8f,2eb4b6e1ee9574c9e4a5f7e7e9b09280,d02b067e0f767dbb4564526385f49d84,PLUIT,Asia/Jakarta,9/21/2025,FALSE
6,f2de40c8394f4ea9a6aa49965380dd8f,2eb4b6e1ee9574c9e4a5f7e7e9b09280,d02b067e0f767dbb4564526385f49d84,PLUIT,Asia/Jakarta,9/21/2025,FALSE
7,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
8,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
9,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
10,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
11,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
12,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
13,4acfa96cb521b6963b50bcef95bee485,a2d59a13f5f24ae696b0c6917f86a82f,de389f61ac5c8c7ec16ca07369048d0e,BLOK M,Asia/Jakarta,5/12/2025,FALSE
14,93128ee70cc2e95bc632eb73f472213d,ec55b0c6b4cf5e7e08ddcfbc0465b796,6e31e9665f3727cedcbdf8c8d9e7fb23,ADITYAWARMAN,Asia/Jakarta,3/31/2024,FALSE
15,ac7437a85f72bcef29088bf148e05eb7,3bc4f73ee40575f76edf68d2da50b50f,488b1d38c3a3d84ab9839886acecf5e0,SUNSET ROAD,Asia/Makassar,1/15/2026,FALSE
16,192befbbd8b97260e28db080a661578c,2eb4b6e1ee9574c9e4a5f7e7e9b09280,9ed91c0255c3d7f46e8df5f3791a9b0b,PLUIT,Asia/Jakarta,8/27/2024,FALSE
17,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
18,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
19,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
20,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
21,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
22,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
23,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
24,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
25,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
26,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
27,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
28,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
29,2c71c5d66c7e12a0b3c200ba6ed3b78e,6380232145160dca709cdb11ae47fb2a,87e6571bf783832fffc616a308563e7e,BENHIL,Asia/Jakarta,3/4/2026,FALSE
